TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-05-23 17:24:19,813    	Travel.API                                   	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:24:22,910    	Travel.API                                   	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:24:28,432    	Travel.API                                   	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:24:28,434    	Travel.API                                   	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:24:31,426    	Travel.API                                   	EFCoreLogs-myClusteredCache                	9                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:24:31,429    	Travel.API                                   	EFCoreLogs-myClusteredCache                	9                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:27:18,639    	Travel.API                                   	EFCoreLogs-myClusteredCache                	20                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:27:19,695    	Travel.API                                   	EFCoreLogs-myClusteredCache                	20                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:27:22,552    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:27:22,554    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:28:04,534    	Travel.API                                   	EFCoreLogs-myClusteredCache                	32                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
